"NumOfCorrect","NumOfIncorrect","NumOfIncorrect0","NumOfNotAnswer","NumOfAnswer"
40133,293,293,146,40426
40250,78,78,244,40328
40227,171,171,174,40398
40107,288,288,177,40395
40225,166,166,181,40391
40143,259,259,170,40402
40203,189,189,180,40392
40290,126,126,156,40416
29722,10715,10715,135,40437
25663,14770,14770,139,40433
39011,1390,1390,171,40401
36671,3720,3720,181,40391
38076,2294,2294,202,40370
33922,6454,6454,196,40376
38815,1406,1406,351,40221
31779,5325,5325,3468,37104
37714,2241,2241,617,39955
38754,1364,1364,454,40118
31291,3835,3835,5446,35126
37471,2665,2665,436,40136
34052,5534,5534,986,39586
39990,418,418,164,40408
39113,1273,1273,186,40386
34266,6112,6112,194,40378
39795,593,593,184,40388
37832,2495,2495,245,40327
35768,4561,4561,243,40329
39800,523,523,249,40323
35247,5106,5106,219,40353
39463,870,870,239,40333
39093,1249,1249,230,40342
39526,732,732,314,40258
35546,4733,4733,293,40279
39417,893,893,262,40310
33097,6877,6877,598,39974
39495,813,813,264,40308
6647,33623,33623,302,40270
12009,27722,27722,841,39731
35089,5179,5179,304,40268
38729,1443,1443,400,40172
39059,1081,1081,432,40140
37942,2260,2260,370,40202
39416,745,745,411,40161
34208,5882,5882,482,40090
36929,3191,3191,452,40120
34112,5972,5972,488,40084
25401,14801,14801,370,40202
36418,3729,3729,425,40147
20085,19868,19868,619,39953
8778,31323,31323,471,40101
34991,5049,5049,532,40040
39102,984,984,486,40086
23520,16431,16431,621,39951
38727,1346,1346,499,40073
15922,24184,24184,466,40106
12130,27936,27936,506,40066
12960,27003,27003,609,39963
19886,20123,20123,563,40009
23883,16118,16118,571,40001
7957,31872,31872,743,39829
29635,9946,9946,991,39581
26866,12741,12741,965,39607
35695,4142,4142,735,39837
7314,32456,32456,802,39770
14864,24100,24100,1608,38964
25550,14161,14161,861,39711
33784,5977,5977,811,39761
21474,18217,18217,881,39691
20897,18842,18842,833,39739
2967,36708,36708,897,39675
18481,21149,21149,942,39630
18535,21015,21015,1022,39550
8040,31496,31496,1036,39536
19162,20359,20359,1051,39521
14655,24674,24674,1243,39329
33237,6273,6273,1062,39510
23814,15664,15664,1094,39478
29159,10271,10271,1142,39430
37461,1988,1988,1123,39449
14465,24946,24946,1161,39411
18688,20701,20701,1183,39389
13378,25933,25933,1261,39311
24995,14202,14202,1375,39197
21625,17449,17449,1498,39074
23215,15968,15968,1389,39183
6553,32571,32571,1448,39124
10187,29070,29070,1315,39257
9374,30005,30005,1193,39379
26446,12846,12846,1280,39292
25782,13460,13460,1330,39242
5669,33693,33693,1210,39362
27920,11358,11358,1294,39278
15045,23828,23828,1699,38873
6234,32639,32639,1699,38873
24147,14271,14271,2154,38418
15069,23299,23299,2204,38368
35397,3573,3573,1602,38970
35086,3834,3834,1652,38920
34942,4009,4009,1621,38951
12257,26661,26661,1654,38918
4945,34021,34021,1606,38966
6909,32296,32296,1367,39205
8301,30958,30958,1313,39259
4712,34771,34771,1089,39483
12075,26012,26012,2485,38087
10806,27021,27021,2745,37827
11733,25589,25589,3250,37322
14195,23381,23381,2996,37576
9682,28180,28180,2710,37862
15622,21686,21686,3264,37308
16335,18413,18413,5824,34748
21137,13735,13735,5700,34872
3278,31249,31249,6045,34527
17437,17132,17132,6003,34569
19937,14854,14854,5781,34791
18472,16212,16212,5888,34684
16750,17824,17824,5998,34574
17175,20622,20622,2775,37797
13492,24959,24959,2121,38451
21116,17105,17105,2351,38221
19701,18089,18089,2782,37790
6187,29846,29846,4539,36033
3363,32839,32839,4370,36202
11656,25709,25709,3207,37365
12861,24217,24217,3494,37078
8042,25257,25257,7273,33299
3383,29917,29917,7272,33300
353,33214,33214,7005,33567
2091,33339,33339,5142,35430
10100,26247,26247,4225,36347
9662,27205,27205,3705,36867
15749,20698,20698,4125,36447
22222,14804,14804,3546,37026
6048,30817,30817,3707,36865
12172,24475,24475,3925,36647
2356,34120,34120,4096,36476
6676,30656,30656,3240,37332
21529,16244,16244,2799,37773
1174,35554,35554,3844,36728
15215,22364,22364,2993,37579
